    64 Angelina           0.168  18  0.105  20  0.084  15 12.399  17  0.094  26  0.143  38  0.162  38  0.015  47 1981-09-27T03:56:00   7 -9
    64 Angelina           0.063  38  0.028  34  0.000  34 11.824  35  0.111  35  0.163  35  0.160  38  0.170  43 1982-10-10T10:01:00   8 -9
    65 Cybele             0.104  18  0.061  27 -0.001  22 11.989  14  0.016  12  0.036   8  0.035  16  0.075   9 1981-02-06T08:54:00   4 -9
    65 Cybele             0.079  27  0.043  19 -0.024  15 11.973  13  0.037  11  0.058  14  0.068  16  0.095  15 1981-02-08T08:08:00   3 -9
    66 Maja               0.285  24  0.186  30  0.034  24 12.631  19 -0.042  26 -0.018  15 -0.019  21 -0.003  18 1981-02-06T07:39:00   5 -9
    67 Asia               0.541  20  0.384  16  0.191  15 13.051  21  0.174  17  0.135  24  0.121  20  0.130  29 1981-05-09T05:05:00   5 -9
    68 Leto               0.566  25  0.394  28  0.158  26 10.765  26  0.144  15  0.121  22  0.138  22  0.088  13 1982-05-21T08:25:00   5 -9
    69 Hesperia           0.067  49  0.062  38  0.033  38 11.958  52  0.089  41  0.142  38  0.158  34  0.178  39 1982-10-09T06:56:00   8 -9
    70 Panopaea           0.380  36  0.207  21  0.069  15 13.048  11  0.028  16  0.044  28  0.061  15  0.144  12 1979-06-01T06:41:00   6 -9
    71 Niobe              0.424  40  0.327  33  0.108  27 12.061  43  0.079  24  0.136  38  0.119  40  0.090  45 1981-11-26T07:55:00  10 -9
    71 Niobe              0.478  17  0.375  38  0.150  28 12.374   8  0.125  21  0.204  15  0.223  31  0.199  33 1981-12-19T03:53:00   5 -9
    71 Niobe              0.455  22  0.369  20  0.156  25 12.191  19  0.111  30  0.194  23  0.227  28  0.141  26 1981-12-20T04:19:00   5 -9
    75 Eurydike           0.154  35  0.099  18  0.048  22 11.406  25  0.073  26  0.100  18  0.150  29  0.175  40 1980-09-30T09:10:00   5 -9
    76 Freia              0.212  40  0.124  22  0.036  17 13.930  20  0.066  23  0.108  33  0.138  32  0.138  33 1980-10-01T04:24:00  15 -9
    77 Frigga             0.136  35  0.118  18  0.087  22 12.273  25  0.107  25  0.175  16  0.263  31  0.307  38 1980-09-30T10:45:00   7 -9
    78 Diana              0.358  36  0.171  20  0.039  14 13.093  26 -0.001  22 -0.008  23  0.007  27  0.006  29 1979-08-23T06:08:00   7 -9
    79 Eurynome           0.549  18  0.442  18  0.225  12 12.200  15  0.169  22  0.145  34  0.166  37  0.120  42 1981-09-27T03:00:00   6 -9
    80 Sappho             0.678  32  0.547  31  0.241  21 12.638  21  0.210  26  0.216  41  0.104  48  0.184  26 1980-09-29T11:55:00  10 -9
    80 Sappho             0.600  20  0.475  18  0.206  13 11.560  15  0.214  15  0.194  18  0.182  14  0.217  17 1980-12-24T10:23:00   6 -9
    81 Terpsichore        0.208  31  0.141  29  0.013  32 11.578  33  0.001  19  0.007  23  0.016  39  0.026  47 1980-10-19T10:11:00   4 -9
    82 Alkmene            0.435  26  0.335  32  0.146  23 11.471  30  0.173  24  0.116  27  0.128  31  0.173  37 1980-01-17T07:22:00   5 -9
    83 Beatrix            0.149  40  0.093  32  0.042  26 13.054  43  0.101  24  0.111  33  0.112  36  0.065  42 1981-11-26T12:18:00   9 -9
    83 Beatrix            0.131  26  0.092  21  0.040  23 12.321  22  0.117  26  0.177  24  0.175  32  0.148  33 1981-12-21T10:16:00   5 -9
    85 Io                 0.130  24  0.051  16 -0.030  15 11.240   5  0.011  14 -0.023  16 -0.012  13 -0.071  24 1981-05-08T09:24:00   6 -9
    85 Io                 0.132  13  0.044  12 -0.038  14 11.265  20  0.012  13  0.009  21 -0.018  22 -0.050  24 1981-05-09T09:44:00   4 -9
    86 Semele             0.248  30  0.162  28  0.047  31 11.666  32 -0.023  17  0.021  20  0.038  39  0.078  46 1980-10-19T06:38:00   6 -9
    86 Semele             0.232  20  0.164  23  0.055  17 12.173  23  0.003  38  0.033  52  0.056  63  0.116  71 1980-11-06T04:49:00   9 -9
    86 Semele             0.235  56  0.167  45  0.054  47 12.280  46 -0.028  36  0.021  61  0.057  46  0.114  93 1980-11-08T05:39:00   7 -9
    87 Sylvia             0.055  47  0.088  40  0.037  40 13.141  41  0.102  38  0.186  54  0.164  40  0.091  74 1980-11-08T12:38:00   9 -9
    87 Sylvia            -9.999 -99  0.126  35  0.039  25 12.699  29  0.042  31  0.114  31 -9.999 -99 -9.999 -99 1980-12-15T12:01:00   8 -9
    87 Sylvia             0.072  23  0.058  20  0.019  18 12.591  13  0.031  16  0.081  21  0.142  21  0.112  25 1980-12-25T10:52:00   7 -9
